id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
21172,Elettrico-Elettronico,,,"PRESSOSTATO 1NC ?M",Y2,,3,0,,17.10000,
21171,Elettrico-Elettronico,,,"PRESSOSTATO 1NA ?M",Y2,,3,0,,17.10000,
21170,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 9 TIPO GW 52002 (CONF 50 PZ)",L4,,3,0,,22.32000,
21169,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 7 TIPO GW 52001 (CONF 50 PZ)",L4,,2,0,,22.32000,
21168,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 36 TIPO GW 52008 (CONF 25 PZ)",L4,,3,0,,30.72000,
21167,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 29 TIPO GW 52007 (CONF 25 PZ)",L4,,1,0,,28.20000,
21166,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 21 TIPO GW 52006 (CONF 25 PZ)",L4,,2,0,,28.20000,
21165,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 16 TIPO GW 52005 (CONF 25 PZ)",L4,,2,0,,25.56000,
21164,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 13,5 TIPO GW 52004 (CONF 25 PZ)",L4,,4,0,,25.56000,
21163,Elettrico-Elettronico,,,"PRESSACAVO IN PLASTICA PG 11 TIPO GW 52003 (CONF 25 PZ)",L4,,2,0,,25.56000,
21162,Elettrico-Elettronico,,,"PRESE PER SPINOTTO DI PROVA VIOLA Ø5",W1,,22,0,,0.70000,
21161,Elettrico-Elettronico,,,"PRESE PER SPINOTTO DI PROVA ROSSO Ø5",W1,,35,0,,0.70000,
21160,Elettrico-Elettronico,,,"PRESE PER SPINOTTO DI PROVA NERO Ø5",W1,,18,0,,0.70000,
21159,Elettrico-Elettronico,,,"PRESE PER SPINOTTO DI PROVA GIALLO Ø5",W1,,22,0,,0.70000,
21158,Elettrico-Elettronico,,,"PRESA VOLANTE 380 V CEE 3P+T IP44",M4,,4,0,,8.16000,
21157,Elettrico-Elettronico,,,"PRESA VOLANTE 380 V CEE 3P+N+T IP44",M4,,2,0,,8.16000,
21156,Elettrico-Elettronico,,,"PRESA VOLANTE 24 V CEE 2P IP44",L4,,0,0,,5.47000,
21155,Elettrico-Elettronico,,,"PRESA VOLANTE 220 V TIPO ALIMENTATORE PC",D2,,4,0,,3.07000,
21154,Elettrico-Elettronico,,,"PRESA VOLANTE 220 V CEE 2P+T IP44",M4,,5,0,,7.74000,
21153,Elettrico-Elettronico,,,"PRESA VOLANTE 220 V BIPASSO",D2,,31,0,,1.56000,
21152,Elettrico-Elettronico,,,"PRESA VOLANTE 220 V 10 A",D2,,16,0,,1.08000,
21151,Elettrico-Elettronico,,,"PRESA TV VOLANTE COASSIALE Z75? TIPO VIMAR 1643",E5,,22,0,,10.73000,
21150,Elettrico-Elettronico,,,"PRESA TV COASSIALE SEMPLICE (NO UE) TIPO VIMAR 8164",E5,,28,0,,10.73000,
